"product_id","product_name","platform","scheduled_date","scheduled_time","timezone","content_type","content_pillar","caption","first_comment","original_url","affiliate_url","affiliate_sub_id","video_script_id","thumbnail_text","hashtags","cta","affiliate_disclosure","media_filename","status","notes"
"SP1","Đàn Guitar Acoustic ST.Real ST-X1 (chính hãng, có ty chỉnh cần)","Facebook","2026-07-08","20:00","Asia/Ho_Chi_Minh","Bài ảnh review","Review","[Review nhanh] Đàn Guitar Acoustic ST.Real ST-X1: hàng chính hãng, có ty chỉnh cần giúp căn dây dễ, thùng gỗ cho tiếng vang. Góc nhìn từ mô tả gian hàng và phản hồi người mua (mình chưa trực tiếp dùng). Xem giá và phân loại ở bình luận đầu 👇","🛒 Link ở đây nha (giá có thể đang giảm): https://s.shopee.vn/2g9MYcWwrY — Link affiliate, mình có thể nhận hoa hồng nếu bạn mua qua link, giá bạn mua không đổi 💛","","https://s.shopee.vn/2g9MYcWwrY","facebook / metricool","","Guitar chính hãng","#guitar #danguitar #streal #nhaccu #shopeefinds","Xem giá và phân loại ở bình luận đầu 👇","Bài có chứa link tiếp thị liên kết – mình có thể nhận hoa hồng khi bạn mua qua link, giá bạn mua không đổi.","guitar-streal-stx1_facebook_review_v01.jpg","DRAFT","Cần thêm ảnh sản phẩm (tải từ Shopee, itemid 813791059). Link gắn Sub_id facebook/metricool/20260707."
"SP2","Nồi chiên không dầu CAMEL 15L (1500W, BH 12 tháng)","Facebook","2026-07-09","20:00","Asia/Ho_Chi_Minh","Bài ảnh review","Review","[Review nhanh] Nồi chiên không dầu CAMEL 15L: dung tích 15L rộng, công suất 1500W, bảo hành 12 tháng theo mô tả gian hàng. Tổng hợp từ thông tin gian hàng và phản hồi người mua (mình chưa trực tiếp dùng). Xem giá và phân loại ở bình luận đầu 👇","🛒 Link ở đây nha (giá có thể đang giảm): https://s.shopee.vn/2BD5xnf5eS — Link affiliate, mình có thể nhận hoa hồng nếu bạn mua qua link, giá bạn mua không đổi 💛","","https://s.shopee.vn/2BD5xnf5eS","facebook / metricool","","Nồi chiên 15L","#noichienkhongdau #camel #dogiadung #bepnha #shopeefinds","Xem giá và phân loại ở bình luận đầu 👇","Bài có chứa link tiếp thị liên kết – mình có thể nhận hoa hồng khi bạn mua qua link, giá bạn mua không đổi.","noi-chien-camel-15l_facebook_review_v01.jpg","DRAFT","Cần thêm ảnh sản phẩm (tải từ Shopee, itemid 3492445851). Link gắn Sub_id facebook/metricool/20260707."
"SP3","Combo 20 chân gà rút xương tê cay (Ăn cùng Bà Tuyết M28)","Facebook","2026-07-10","20:00","Asia/Ho_Chi_Minh","Bài ảnh review","Review","[Review nhanh] Combo 20 chân gà rút xương tê cay (Ăn cùng Bà Tuyết M28): đồ ăn vặt ăn liền, vị tê cay, theo mô tả gian hàng. Đây là món bán chạy — gian hàng ghi đã bán 100k+ đơn. Xem giá và phân loại ở bình luận đầu 👇","🛒 Link ở đây nha (giá có thể đang giảm): https://s.shopee.vn/30mCwqsiA4 — Link affiliate, mình có thể nhận hoa hồng nếu bạn mua qua link, giá bạn mua không đổi 💛","","https://s.shopee.vn/30mCwqsiA4","facebook / metricool","","Chân gà tê cay","#changa #changarutxuong #anvat #monanvat #shopeefinds","Xem giá và phân loại ở bình luận đầu 👇","Bài có chứa link tiếp thị liên kết – mình có thể nhận hoa hồng khi bạn mua qua link, giá bạn mua không đổi.","combo-chan-ga-m28_facebook_review_v01.jpg","DRAFT","Cần thêm ảnh sản phẩm (tải từ Shopee, itemid 43508358436). Link gắn Sub_id facebook/metricool/20260707."
"SP4","Cây livestream 3 chân có kẹp điện thoại","Facebook","2026-07-11","20:00","Asia/Ho_Chi_Minh","Bài ảnh review","Review","[Review nhanh] Cây livestream 3 chân có kẹp điện thoại: dạng tripod, hỗ trợ chụp ảnh và quay video ổn định hơn, theo mô tả gian hàng. Gian hàng ghi đã bán 30k+ đơn. Xem giá và phân loại ở bình luận đầu 👇","🛒 Link ở đây nha (giá có thể đang giảm): https://s.shopee.vn/2LWW9uo7Cn — Link affiliate, mình có thể nhận hoa hồng nếu bạn mua qua link, giá bạn mua không đổi 💛","","https://s.shopee.vn/2LWW9uo7Cn","facebook / metricool","","Tripod kẹp ĐT","#tripod #caylivestream #phukiendienthoai #quayvideo #shopeefinds","Xem giá và phân loại ở bình luận đầu 👇","Bài có chứa link tiếp thị liên kết – mình có thể nhận hoa hồng khi bạn mua qua link, giá bạn mua không đổi.","cay-livestream-3-chan_facebook_review_v01.jpg","DRAFT","Cần thêm ảnh sản phẩm (tải từ Shopee, itemid 12750921262). Link gắn Sub_id facebook/metricool/20260707."
"SP5","Giấy vệ sinh treo tường TopGia (1280 tờ/4 lớp)","Facebook","2026-07-12","20:00","Asia/Ho_Chi_Minh","Bài ảnh review","Review","[Review nhanh] Giấy vệ sinh treo tường TopGia: cuộn 1280 tờ/4 lớp, từ bột giấy thiên nhiên, kiểu treo tường tiện dùng, theo mô tả gian hàng. Cực bán chạy — gian hàng ghi đã bán 1tr+ đơn. Xem giá và phân loại ở bình luận đầu 👇","🛒 Link ở đây nha (giá có thể đang giảm): https://s.shopee.vn/3B5d9MVMbl — Link affiliate, mình có thể nhận hoa hồng nếu bạn mua qua link, giá bạn mua không đổi 💛","","https://s.shopee.vn/3B5d9MVMbl","facebook / metricool","","Giấy 4 lớp","#giayvesinh #topgia #dotieudung #dodunggiadinh #shopeefinds","Xem giá và phân loại ở bình luận đầu 👇","Bài có chứa link tiếp thị liên kết – mình có thể nhận hoa hồng khi bạn mua qua link, giá bạn mua không đổi.","giay-ve-sinh-topgia_facebook_review_v01.jpg","DRAFT","Cần thêm ảnh sản phẩm (tải từ Shopee, itemid 23552060269). Link gắn Sub_id facebook/metricool/20260707."
"SP1","Đàn Guitar Acoustic ST.Real ST-X1 (chính hãng, có ty chỉnh cần)","Facebook","2026-07-13","12:00","Asia/Ho_Chi_Minh","Bài ảnh mẹo","Giải quyết vấn đề","Mới tập guitar hay bị rát tay, đàn khó lên dây? Theo mô tả gian hàng, ST.Real ST-X1 có ty chỉnh cần nên dễ căn độ cao dây (action) cho đỡ đau tay. Gian hàng ghi đã bán 10k+ đơn. Xem giá và phân loại ở bình luận đầu 👇","🛒 Link ở đây nha (giá có thể đang giảm): https://s.shopee.vn/2g9MYcWwrY — Link affiliate, mình có thể nhận hoa hồng nếu bạn mua qua link, giá bạn mua không đổi 💛","","https://s.shopee.vn/2g9MYcWwrY","facebook / metricool","","Guitar chính hãng","#guitar #danguitar #streal #nhaccu #shopeefinds","Xem giá và phân loại ở bình luận đầu 👇","Bài có chứa link tiếp thị liên kết – mình có thể nhận hoa hồng khi bạn mua qua link, giá bạn mua không đổi.","guitar-streal-stx1_facebook_meo_v01.jpg","DRAFT","Cần thêm ảnh sản phẩm (tải từ Shopee, itemid 813791059). Link gắn Sub_id facebook/metricool/20260707."
"SP2","Nồi chiên không dầu CAMEL 15L (1500W, BH 12 tháng)","Facebook","2026-07-14","12:00","Asia/Ho_Chi_Minh","Bài ảnh mẹo","Giải quyết vấn đề","Nhà đông người, nồi chiên nhỏ chiên mấy lượt mới xong? Bản 15L của CAMEL rộng hơn, theo mô tả gian hàng hợp nướng gà nguyên con, làm khoai, sấy hoa quả. Đã bán 20k+ đơn. Xem giá và phân loại ở bình luận đầu 👇","🛒 Link ở đây nha (giá có thể đang giảm): https://s.shopee.vn/2BD5xnf5eS — Link affiliate, mình có thể nhận hoa hồng nếu bạn mua qua link, giá bạn mua không đổi 💛","","https://s.shopee.vn/2BD5xnf5eS","facebook / metricool","","Nồi chiên 15L","#noichienkhongdau #camel #dogiadung #bepnha #shopeefinds","Xem giá và phân loại ở bình luận đầu 👇","Bài có chứa link tiếp thị liên kết – mình có thể nhận hoa hồng khi bạn mua qua link, giá bạn mua không đổi.","noi-chien-camel-15l_facebook_meo_v01.jpg","DRAFT","Cần thêm ảnh sản phẩm (tải từ Shopee, itemid 3492445851). Link gắn Sub_id facebook/metricool/20260707."
"SP3","Combo 20 chân gà rút xương tê cay (Ăn cùng Bà Tuyết M28)","Facebook","2026-07-15","12:00","Asia/Ho_Chi_Minh","Bài ảnh mẹo","Giải quyết vấn đề","Buồn miệng lúc xem phim mà lười nấu? 🌶️ Combo chân gà rút xương tê cay M28 ăn liền tiện, hợp hội mê cay (theo mô tả gian hàng). Đã bán 100k+ đơn. Xem giá và phân loại ở bình luận đầu 👇","🛒 Link ở đây nha (giá có thể đang giảm): https://s.shopee.vn/30mCwqsiA4 — Link affiliate, mình có thể nhận hoa hồng nếu bạn mua qua link, giá bạn mua không đổi 💛","","https://s.shopee.vn/30mCwqsiA4","facebook / metricool","","Chân gà tê cay","#changa #changarutxuong #anvat #monanvat #shopeefinds","Xem giá và phân loại ở bình luận đầu 👇","Bài có chứa link tiếp thị liên kết – mình có thể nhận hoa hồng khi bạn mua qua link, giá bạn mua không đổi.","combo-chan-ga-m28_facebook_meo_v01.jpg","DRAFT","Cần thêm ảnh sản phẩm (tải từ Shopee, itemid 43508358436). Link gắn Sub_id facebook/metricool/20260707."
"SP4","Cây livestream 3 chân có kẹp điện thoại","Facebook","2026-07-16","12:00","Asia/Ho_Chi_Minh","Bài ảnh mẹo","Giải quyết vấn đề","Quay clip hay live mà tay rung, khung hình lệch? Chân 3 giá kẹp điện thoại giúp cố định máy, rảnh tay hơn (theo mô tả gian hàng). Đã bán 30k+ đơn. Xem giá và phân loại ở bình luận đầu 👇","🛒 Link ở đây nha (giá có thể đang giảm): https://s.shopee.vn/2LWW9uo7Cn — Link affiliate, mình có thể nhận hoa hồng nếu bạn mua qua link, giá bạn mua không đổi 💛","","https://s.shopee.vn/2LWW9uo7Cn","facebook / metricool","","Tripod kẹp ĐT","#tripod #caylivestream #phukiendienthoai #quayvideo #shopeefinds","Xem giá và phân loại ở bình luận đầu 👇","Bài có chứa link tiếp thị liên kết – mình có thể nhận hoa hồng khi bạn mua qua link, giá bạn mua không đổi.","cay-livestream-3-chan_facebook_meo_v01.jpg","DRAFT","Cần thêm ảnh sản phẩm (tải từ Shopee, itemid 12750921262). Link gắn Sub_id facebook/metricool/20260707."
"SP5","Giấy vệ sinh treo tường TopGia (1280 tờ/4 lớp)","Facebook","2026-07-17","12:00","Asia/Ho_Chi_Minh","Bài ảnh mẹo","Giải quyết vấn đề","Đồ tiêu dùng dùng hằng ngày, mua 1 lần xài lâu 🧻 Giấy TopGia 4 lớp, cuộn to 1280 tờ, theo mô tả gian hàng thấm hút tốt. Đã bán 1tr+ đơn. Xem giá và phân loại ở bình luận đầu 👇","🛒 Link ở đây nha (giá có thể đang giảm): https://s.shopee.vn/3B5d9MVMbl — Link affiliate, mình có thể nhận hoa hồng nếu bạn mua qua link, giá bạn mua không đổi 💛","","https://s.shopee.vn/3B5d9MVMbl","facebook / metricool","","Giấy 4 lớp","#giayvesinh #topgia #dotieudung #dodunggiadinh #shopeefinds","Xem giá và phân loại ở bình luận đầu 👇","Bài có chứa link tiếp thị liên kết – mình có thể nhận hoa hồng khi bạn mua qua link, giá bạn mua không đổi.","giay-ve-sinh-topgia_facebook_meo_v01.jpg","DRAFT","Cần thêm ảnh sản phẩm (tải từ Shopee, itemid 23552060269). Link gắn Sub_id facebook/metricool/20260707."
