"product_id","product_name","platform","scheduled_date","scheduled_time","timezone","content_type","content_pillar","caption","first_comment","original_url","affiliate_url","affiliate_sub_id","video_script_id","thumbnail_text","hashtags","cta","affiliate_disclosure","media_filename","status","notes"
"SP1","Đèn học chống cận Tao1501 (3 màu, kẹp bàn)","Facebook","2026-07-08","20:00","Asia/Ho_Chi_Minh","Video review","Review","[Review nhanh] Đèn học chống cận Tao1501 (3 màu, kẹp bàn): 3 chế độ ánh sáng, kẹp gọn bàn, được quảng cáo là ánh sáng dịu giảm chói. Góc nhìn từ thông tin gian hàng & phản hồi người mua (mình chưa trực tiếp dùng). Xem giá & phân loại ở bình luận đầu 👇","🛒 Link ở đây nha (giá có thể đang giảm): https://s.shopee.vn/4Vb0amrtOA — Link affiliate, mình có thể nhận hoa hồng nếu bạn mua qua link, giá bạn mua không đổi 💛","https://shopee.vn/product/29647358/851143551","https://s.shopee.vn/4Vb0amrtOA","facebook / metricool","SP1-VS1","Đèn bàn 3 màu","#denhoc #denbanhoc #chongcan #gocxuong #dodunghoctap","Xem giá & phân loại ở bình luận đầu 👇","Bài có chứa link tiếp thị liên kết – mình có thể nhận hoa hồng khi bạn mua qua link, giá bạn mua không đổi.","den-hoc-tao1501_facebook_video-review_v01.mp4","DRAFT","Link hiện gắn Sub_id=facebook/metricool"
"SP1","Đèn học chống cận Tao1501 (3 màu, kẹp bàn)","TikTok","2026-07-09","12:30","Asia/Ho_Chi_Minh","Video demo","Giải quyết vấn đề","Học tối mỏi mắt, đèn hay chói? Đèn học chống cận Tao1501 (3 màu, kẹp bàn) giúp 3 chế độ ánh sáng, kẹp gọn bàn, được quảng cáo là ánh sáng dịu giảm chói. Xem demo thử nhé! Xem giá & phân loại ở bình luận đầu 👇","🛒 Link ở đây nha (giá có thể đang giảm): https://s.shopee.vn/4Vb0amrtOA — Link affiliate, mình có thể nhận hoa hồng nếu bạn mua qua link, giá bạn mua không đổi 💛","https://shopee.vn/product/29647358/851143551","https://s.shopee.vn/4Vb0amrtOA","facebook / metricool","SP1-VS2","Đèn bàn 3 màu","#denhoc #denbanhoc #chongcan #gocxuong #dodunghoctap #backtoschool #shopeefinds #reviewdogiadung","Xem giá & phân loại ở bình luận đầu 👇","Bài có chứa link tiếp thị liên kết – mình có thể nhận hoa hồng khi bạn mua qua link, giá bạn mua không đổi.","den-hoc-tao1501_tiktok_video-demo_v01.mp4","DRAFT","Nên tạo lại link với Sub_id theo nền tảng (vd tiktok/instagram/threads) để đo riêng — xem affiliate_links_metricool.md"
"SP1","Đèn học chống cận Tao1501 (3 màu, kẹp bàn)","Instagram","2026-07-10","21:00","Asia/Ho_Chi_Minh","Reels","Hướng dẫn","Mẹo dùng Đèn học chống cận Tao1501 (3 màu, kẹp bàn) sao cho 3 chế độ ánh sáng, kẹp gọn bàn, được quảng cáo là ánh sáng dịu giảm chói. Lưu lại dùng dần nha. Xem giá & phân loại ở bình luận đầu 👇","🛒 Link ở đây nha (giá có thể đang giảm): https://s.shopee.vn/4Vb0amrtOA — Link affiliate, mình có thể nhận hoa hồng nếu bạn mua qua link, giá bạn mua không đổi 💛","https://shopee.vn/product/29647358/851143551","https://s.shopee.vn/4Vb0amrtOA","facebook / metricool","SP1-VS3","Đèn bàn 3 màu","#denhoc #denbanhoc #chongcan #gocxuong #dodunghoctap #backtoschool #shopeefinds #reviewdogiadung","Xem giá & phân loại ở bình luận đầu 👇","Bài có chứa link tiếp thị liên kết – mình có thể nhận hoa hồng khi bạn mua qua link, giá bạn mua không đổi.","den-hoc-tao1501_instagram_reels_v01.mp4","DRAFT","Nên tạo lại link với Sub_id theo nền tảng (vd tiktok/instagram/threads) để đo riêng — xem affiliate_links_metricool.md"
"SP1","Đèn học chống cận Tao1501 (3 màu, kẹp bàn)","Facebook","2026-07-11","20:30","Asia/Ho_Chi_Minh","Bài so sánh","So sánh","Trước và sau khi dùng Đèn học chống cận Tao1501 (3 màu, kẹp bàn): 3 chế độ ánh sáng, kẹp gọn bàn, được quảng cáo là ánh sáng dịu giảm chói. Bạn thấy khác nhiều không? Xem giá & phân loại ở bình luận đầu 👇","🛒 Link ở đây nha (giá có thể đang giảm): https://s.shopee.vn/4Vb0amrtOA — Link affiliate, mình có thể nhận hoa hồng nếu bạn mua qua link, giá bạn mua không đổi 💛","https://shopee.vn/product/29647358/851143551","https://s.shopee.vn/4Vb0amrtOA","facebook / metricool","","Đèn bàn 3 màu","#denhoc #denbanhoc #chongcan #gocxuong #dodunghoctap","Xem giá & phân loại ở bình luận đầu 👇","Bài có chứa link tiếp thị liên kết – mình có thể nhận hoa hồng khi bạn mua qua link, giá bạn mua không đổi.","den-hoc-tao1501_facebook_bai-so-sanh_v01.jpg","DRAFT","Link hiện gắn Sub_id=facebook/metricool"
"SP1","Đèn học chống cận Tao1501 (3 màu, kẹp bàn)","Threads","2026-07-12","08:00","Asia/Ho_Chi_Minh","Bài hỏi đáp","Hỏi đáp","Hỏi nhanh: bạn đang gặp cảnh học tối mỏi mắt, đèn hay chói? Đèn học chống cận Tao1501 (3 màu, kẹp bàn) có thể là một lựa chọn (3 chế độ ánh sáng, kẹp gọn bàn, được quảng cáo là ánh sáng dịu giảm chói). Cần tư vấn cứ hỏi mình ở comment nha.","🛒 Link ở đây nha (giá có thể đang giảm): https://s.shopee.vn/4Vb0amrtOA — Link affiliate, mình có thể nhận hoa hồng nếu bạn mua qua link, giá bạn mua không đổi 💛","https://shopee.vn/product/29647358/851143551","https://s.shopee.vn/4Vb0amrtOA","facebook / metricool","","Đèn bàn 3 màu","#denhoc #denbanhoc #chongcan #gocxuong","Xem giá & phân loại ở bình luận đầu 👇","Bài có chứa link tiếp thị liên kết – mình có thể nhận hoa hồng khi bạn mua qua link, giá bạn mua không đổi.","den-hoc-tao1501_threads_bai-hoi-dap_v01.jpg","DRAFT","Nên tạo lại link với Sub_id theo nền tảng (vd tiktok/instagram/threads) để đo riêng — xem affiliate_links_metricool.md"
"SP1","Đèn học chống cận Tao1501 (3 màu, kẹp bàn)","Facebook","2026-07-13","12:00","Asia/Ho_Chi_Minh","Bài tổng hợp","Tổng hợp phản hồi","Tổng hợp điểm người mua hay khen ở Đèn học chống cận Tao1501 (3 màu, kẹp bàn): 3 chế độ ánh sáng, kẹp gọn bàn, được quảng cáo là ánh sáng dịu giảm chói. (Dựa trên phản hồi công khai, chưa phải trải nghiệm cá nhân.) Xem giá & phân loại ở bình luận đầu 👇","🛒 Link ở đây nha (giá có thể đang giảm): https://s.shopee.vn/4Vb0amrtOA — Link affiliate, mình có thể nhận hoa hồng nếu bạn mua qua link, giá bạn mua không đổi 💛","https://shopee.vn/product/29647358/851143551","https://s.shopee.vn/4Vb0amrtOA","facebook / metricool","","Đèn bàn 3 màu","#denhoc #denbanhoc #chongcan #gocxuong #dodunghoctap","Xem giá & phân loại ở bình luận đầu 👇","Bài có chứa link tiếp thị liên kết – mình có thể nhận hoa hồng khi bạn mua qua link, giá bạn mua không đổi.","den-hoc-tao1501_facebook_bai-tong-hop_v01.jpg","DRAFT","Link hiện gắn Sub_id=facebook/metricool"
"SP1","Đèn học chống cận Tao1501 (3 màu, kẹp bàn)","TikTok","2026-07-14","20:00","Asia/Ho_Chi_Minh","Video CTA","CTA mua hàng","Đèn học chống cận Tao1501 (3 màu, kẹp bàn) đang có giá tốt. Nếu bạn cần 3 chế độ ánh sáng, kẹp gọn bàn, được quảng cáo là ánh sáng dịu giảm chói, xem thử nhé. Xem giá & phân loại ở bình luận đầu 👇","🛒 Link ở đây nha (giá có thể đang giảm): https://s.shopee.vn/4Vb0amrtOA — Link affiliate, mình có thể nhận hoa hồng nếu bạn mua qua link, giá bạn mua không đổi 💛","https://shopee.vn/product/29647358/851143551","https://s.shopee.vn/4Vb0amrtOA","facebook / metricool","SP1-VS1","Đèn bàn 3 màu","#denhoc #denbanhoc #chongcan #gocxuong #dodunghoctap #backtoschool #shopeefinds #reviewdogiadung","Xem giá & phân loại ở bình luận đầu 👇","Bài có chứa link tiếp thị liên kết – mình có thể nhận hoa hồng khi bạn mua qua link, giá bạn mua không đổi.","den-hoc-tao1501_tiktok_video-cta_v01.mp4","DRAFT","Nên tạo lại link với Sub_id theo nền tảng (vd tiktok/instagram/threads) để đo riêng — xem affiliate_links_metricool.md"
"SP2","Máy cắt lông xù quần áo SK-877","Facebook","2026-07-08","20:00","Asia/Ho_Chi_Minh","Video review","Review","[Review nhanh] Máy cắt lông xù quần áo SK-877: cạo sạch lông xù, giúp áo len/nỉ trông như mới. Góc nhìn từ thông tin gian hàng & phản hồi người mua (mình chưa trực tiếp dùng). Link ở bình luận đầu 👇 xem giá nha","🛒 Link ở đây nha (giá có thể đang giảm): https://s.shopee.vn/4LHaOTsWj9 — Link affiliate, mình có thể nhận hoa hồng nếu bạn mua qua link, giá bạn mua không đổi 💛","https://shopee.vn/product/973419859/26869899852","https://s.shopee.vn/4LHaOTsWj9","facebook / metricool","SP2-VS1","Áo len như mới","#maycatlongxu #chamsocquanao #aolen #meovat #lammoiquanao","Link ở bình luận đầu 👇 xem giá nha","Bài có chứa link tiếp thị liên kết – mình có thể nhận hoa hồng khi bạn mua qua link, giá bạn mua không đổi.","may-cat-long-xu-sk877_facebook_video-review_v01.mp4","DRAFT","Link hiện gắn Sub_id=facebook/metricool"
"SP2","Máy cắt lông xù quần áo SK-877","TikTok","2026-07-09","12:30","Asia/Ho_Chi_Minh","Video demo","Giải quyết vấn đề","Áo len bị vón lông xù trông cũ? Máy cắt lông xù quần áo SK-877 giúp cạo sạch lông xù, giúp áo len/nỉ trông như mới. Xem demo thử nhé! Link ở bình luận đầu 👇 xem giá nha","🛒 Link ở đây nha (giá có thể đang giảm): https://s.shopee.vn/4LHaOTsWj9 — Link affiliate, mình có thể nhận hoa hồng nếu bạn mua qua link, giá bạn mua không đổi 💛","https://shopee.vn/product/973419859/26869899852","https://s.shopee.vn/4LHaOTsWj9","facebook / metricool","SP2-VS2","Áo len như mới","#maycatlongxu #chamsocquanao #aolen #meovat #lammoiquanao #shopeefinds #dogiadung #tietkiem","Link ở bình luận đầu 👇 xem giá nha","Bài có chứa link tiếp thị liên kết – mình có thể nhận hoa hồng khi bạn mua qua link, giá bạn mua không đổi.","may-cat-long-xu-sk877_tiktok_video-demo_v01.mp4","DRAFT","Nên tạo lại link với Sub_id theo nền tảng (vd tiktok/instagram/threads) để đo riêng — xem affiliate_links_metricool.md"
"SP2","Máy cắt lông xù quần áo SK-877","Instagram","2026-07-10","21:00","Asia/Ho_Chi_Minh","Reels","Hướng dẫn","Mẹo dùng Máy cắt lông xù quần áo SK-877 sao cho cạo sạch lông xù, giúp áo len/nỉ trông như mới. Lưu lại dùng dần nha. Link ở bình luận đầu 👇 xem giá nha","🛒 Link ở đây nha (giá có thể đang giảm): https://s.shopee.vn/4LHaOTsWj9 — Link affiliate, mình có thể nhận hoa hồng nếu bạn mua qua link, giá bạn mua không đổi 💛","https://shopee.vn/product/973419859/26869899852","https://s.shopee.vn/4LHaOTsWj9","facebook / metricool","SP2-VS3","Áo len như mới","#maycatlongxu #chamsocquanao #aolen #meovat #lammoiquanao #shopeefinds #dogiadung #tietkiem","Link ở bình luận đầu 👇 xem giá nha","Bài có chứa link tiếp thị liên kết – mình có thể nhận hoa hồng khi bạn mua qua link, giá bạn mua không đổi.","may-cat-long-xu-sk877_instagram_reels_v01.mp4","DRAFT","Nên tạo lại link với Sub_id theo nền tảng (vd tiktok/instagram/threads) để đo riêng — xem affiliate_links_metricool.md"
